Fold,Number of Molecules,r2,rmsd,bias,sdep,Model,Descriptor,Index
Average,2377,0.5625597223968505,0.6926138241304586,0.02848575971131634,0.6916143486596378,RF,RDKit,1
Average,2377,0.5589272935363276,0.6962790682603138,0.028179235002271007,0.692880084587257,RF,RDKit,2
Average,2377,0.5674723441207464,0.6898895068439046,0.023135170025180656,0.6885260105182145,RF,RDKit,3
Average,2377,0.543173478795228,0.7090553614726679,0.012896342518591442,0.708359212826849,XGBR,RDKit,1
Average,2377,0.5214345349545094,0.7226121793729672,0.009526708085096054,0.7196011713168642,XGBR,RDKit,2
Average,2377,0.5347970623922994,0.7126180093625012,0.004757219433506934,0.7112064369157467,XGBR,RDKit,3
Average,2377,0.48749374637557796,0.7508119429114396,-0.08754401982133189,0.7442940715832694,SVR,RDKit,1
Average,2377,0.48940290529429264,0.7498034124579298,-0.08372989509954655,0.7438171476673416,SVR,RDKit,2
Average,2377,0.48759203491347664,0.7489597351860373,-0.08852320937102992,0.7410686535975619,SVR,RDKit,3
Average,2377,0.6040806771446312,0.6592612872526825,0.0002414680072103619,0.6581862921139835,RF,Morgan,1
Average,2377,0.601300818705174,0.6618350690378128,-0.002216915042418121,0.6605755031592359,RF,Morgan,2
Average,2377,0.5969524294924893,0.6649557401320075,-0.001897575040361403,0.6624146845855039,RF,Morgan,3
Average,2377,0.5724721176711356,0.6818485479977607,0.005841762114665082,0.6807441410281563,XGBR,Morgan,1
Average,2377,0.5702517561337047,0.6844231175412246,0.010469412098135608,0.6825845738362389,XGBR,Morgan,2
Average,2377,0.5586404798009186,0.6941958721332027,0.008162992880729861,0.6928428110901462,XGBR,Morgan,3
Average,2377,0.5420382846623735,0.7096691742952543,-0.04916348829632789,0.7062366081065488,SVR,Morgan,1
Average,2377,0.5405726843734875,0.7077454065239372,-0.051701687972345464,0.7034289591029343,SVR,Morgan,2
Average,2377,0.549634263217868,0.70348537914969,-0.04551726030508761,0.7011914994065669,SVR,Morgan,3
Average,2377,0.5963597442750759,0.6625109887703097,0.018179070603541805,0.6608994735213323,RF,Both,1
Average,2377,0.589986122177699,0.6696786861959898,0.019049069778290916,0.6667070715057852,RF,Both,2
Average,2377,0.6027899136959589,0.661818187649924,0.0184947185331131,0.659882655869617,RF,Both,3
Average,2377,0.583370984514071,0.6737708646113221,0.013521840871814017,0.6724469401354314,XGBR,Both,1
Average,2377,0.5662847175885972,0.6892573757986564,0.005442289581246317,0.6879802399569184,XGBR,Both,2
Average,2377,0.5751471809687658,0.6792892074154957,0.006370008380371733,0.6777684061906478,XGBR,Both,3
Average,2377,0.5600792597936671,0.6963087703083323,-0.053291984137500095,0.6927236116448282,SVR,Both,1
Average,2377,0.5530282381007783,0.699966412898285,-0.05357355884418087,0.6963810110143757,SVR,Both,2
Average,2377,0.5598791889749408,0.6941561281610207,-0.049633528467502463,0.6907898516503044,SVR,Both,3
